1	167	21984	Male infant circumcision is tantamount to child abuse	Parents have the right to make the decisions for their child
1	167	1242	Male infant circumcision is tantamount to child abuse	Parents have the right to use their best judgment, in the light of medical advice, as to what is in the best interest of their child 
1	167	21983	Male infant circumcision is tantamount to child abuse	Parents know what best for thier child 
0	167	16424	Male infant circumcision is tantamount to child abuse	Physical, Sexual, and Psychological Effects of Male Infant.
0	167	21494	Male infant circumcision is tantamount to child abuse	Male and female equality is vital to society.
0	167	20740	Male infant circumcision is tantamount to child abuse	Every child has the right to live free from violence and sexual abuse.
1	944	7584	punishment should fit the criminal	It will cause less re-offenders.
1	944	7587	punishment should fit the criminal	The onus should not be on punishing the criminal.
1	944	26958	punishment should fit the criminal	Adequate punishment reduces future offenses.
1	944	26959	punishment should fit the criminal	Just punishment will lead to less criminals re-offending. 
1	944	26962	punishment should fit the criminal	Punishment should not be the primary focus.
1	944	26963	punishment should fit the criminal	Our  main goal should not be punishing the criminal. 
0	944	7159	punishment should fit the criminal	In most cases, the punishment doesn't fit the crime
0	944	6859	punishment should fit the criminal	SHARIA ESPECIALLY ISLAMIC CRIMINAL LAW SHOULD BE ADPOTED
0	944	23687	punishment should fit the criminal	Economic punishment is what Cuba should be subject to
0	944	27083	punishment should fit the criminal	Corporal Punishment is wrong and not an appropriate punishment in 2018.
0	944	7837	punishment should fit the criminal	I think corpral punishment should be eleagle in every country.
0	944	5672	punishment should fit the criminal	Empire in 'a fit of absentmindedness'
1	621	26481	A government has the obligation to lessen the economic gap between its rich and poor citizens	The wealth gap does not allow for equality between the rich and the poor and so it should be reduced.
1	621	26482	A government has the obligation to lessen the economic gap between its rich and poor citizens	Society gives an unfair advantage to certain groups of people and reducing the wealth gap will help achieve more equality.
1	621	5142	A government has the obligation to lessen the economic gap between its rich and poor citizens	The Rich Poor Gap Silences the Political Voice of the Poor
1	621	5143	A government has the obligation to lessen the economic gap between its rich and poor citizens	True individual freedom cannot exist without economic security and independence
1	621	6653	A government has the obligation to lessen the economic gap between its rich and poor citizens	Wealth gap undermines equality of opportunity; reducing it makes society fairer.
0	621	5992	A government has the obligation to lessen the economic gap between its rich and poor citizens	It will increase the tension and the gap between rich and poor. 
0	621	26479	A government has the obligation to lessen the economic gap between its rich and poor citizens	Decreasing the wealth gap between the rich and the poor should be relatively easy.
0	621	26097	A government has the obligation to lessen the economic gap between its rich and poor citizens	Tensions will rise between the rich and the poor.
0	621	26096	A government has the obligation to lessen the economic gap between its rich and poor citizens	The tension between rich and poor will be increased.
0	621	360	A government has the obligation to lessen the economic gap between its rich and poor citizens	Private universities would increase the divide between the rich and poor
1	873	7089	We Should Question Authorities	Why is the authority figure there?
0	873	20759	We Should Question Authorities	We all question the model of endless economic growth.
1	660	25819	China should be allowed more control over its own seas	China should have freedom of the seas.
1	660	5487	China should be allowed more control over its own seas	Sovereignty of the Seas
0	660	4119	China should be allowed more control over its own seas	Grey imports limit a company's control over its own products.
0	660	23415	China should be allowed more control over its own seas	Tibet has its own culture and history that is distinct from China, and should rightfully be independent.
1	299	23008	Islamic State/Daesh is the most significant threat to the west	The Islamic State is not the biggest concern for the western world.
1	299	23009	Islamic State/Daesh is the most significant threat to the west	There are more important threats to focus on
