claim_id,perspective_id,author1,rel1,author2,rel2
58,430,Daniel,S,Sihao,S
58,431,Daniel,A,Sihao,S
58,432,Daniel,N,Sihao,S
58,433,Daniel,S,Sihao,S
58,434,Daniel,U,Sihao,U
58,435,Daniel,B,Sihao,U
58,436,Daniel,B,Sihao,B
58,437,Daniel,U,Sihao,U
58,9034,Daniel,N,Sihao,N
58,9326,Daniel,N,Sihao,N
58,9343,Daniel,N,Sihao,N
58,9344,Daniel,B,Sihao,B
58,9345,Daniel,N,Sihao,N
58,9346,Daniel,N,Sihao,N
58,9347,Daniel,N,Sihao,N
58,9348,Daniel,N,Sihao,N
58,9349,Daniel,N,Sihao,N
58,9350,Daniel,N,Sihao,N
67,503,Daniel,S,Sihao,S
67,504,Daniel,S,Sihao,A
67,505,Daniel,S,Sihao,N
67,506,Daniel,U,Sihao,U
67,507,Daniel,B,Sihao,B
67,508,Daniel,U,Sihao,U
67,8850,Daniel,N,Sihao,N
67,9477,Daniel,B,Sihao,U
67,9507,Daniel,N,Sihao,N
67,9508,Daniel,N,Sihao,N
67,9509,Daniel,N,Sihao,N
67,9510,Daniel,N,Sihao,N
67,9511,Daniel,B,Sihao,N
67,9512,Daniel,N,Sihao,N
67,9513,Daniel,S,Sihao,N
67,9514,Daniel,N,Sihao,N
67,9515,Daniel,N,Sihao,N
67,9516,Daniel,N,Sihao,N
67,9517,Daniel,N,Sihao,N
67,9518,Daniel,N,Sihao,N
67,9519,Daniel,N,Sihao,S
67,9520,Daniel,U,Sihao,U
67,9521,Daniel,N,Sihao,N
67,9522,Daniel,U,Sihao,U
67,9523,Daniel,N,Sihao,N
67,9524,Daniel,N,Sihao,N
67,9525,Daniel,N,Sihao,N
67,9526,Daniel,N,Sihao,N
67,9527,Daniel,N,Sihao,N
67,9528,Daniel,N,Sihao,N
67,9529,Daniel,N,Sihao,N
67,9530,Daniel,N,Sihao,N
67,9531,Daniel,B,Sihao,N
67,9532,Daniel,N,Sihao,N
67,9533,Daniel,U,Sihao,N
462,3440,Daniel,A,Sihao,S
462,3441,Daniel,A,Sihao,B
462,3442,Daniel,A,Sihao,B
462,3443,Daniel,S,Sihao,S
462,3444,Daniel,U,Sihao,U
462,3445,Daniel,U,Sihao,U
462,3446,Daniel,U,Sihao,U
462,10050,Daniel,A,Sihao,S
462,10581,Daniel,N,Sihao,B
462,11585,Daniel,N,Sihao,A
462,12235,Daniel,N,Sihao,N
462,12707,Daniel,A,Sihao,B
462,12892,Daniel,N,Sihao,N
462,15213,Daniel,N,Sihao,N
462,15214,Daniel,A,Sihao,S
462,15215,Daniel,N,Sihao,N
462,15216,Daniel,S,Sihao,S
462,15217,Daniel,N,Sihao,N
462,15218,Daniel,A,Sihao,N
462,15219,Daniel,N,Sihao,B
462,15220,Daniel,N,Sihao,N
581,4570,Daniel,S,Sihao,S
581,4571,Daniel,S,Sihao,S
581,4572,Daniel,S,Sihao,S
581,4573,Daniel,S,Sihao,S
581,4574,Daniel,S,Sihao,S
581,4575,Daniel,S,Sihao,S
581,4576,Daniel,S,Sihao,S
581,4577,Daniel,S,Sihao,S
581,4578,Daniel,S,Sihao,S
581,4579,Daniel,S,Sihao,S
581,4580,Daniel,S,Sihao,S
581,4581,Daniel,S,Sihao,S
581,4582,Daniel,N,Sihao,S
581,4583,Daniel,S,Sihao,S
581,4584,Daniel,S,Sihao,S
581,4585,Daniel,S,Sihao,A
581,4586,Daniel,S,Sihao,S
581,4587,Daniel,S,Sihao,A
581,4588,Daniel,S,Sihao,S
581,4589,Daniel,S,Sihao,S
581,4590,Daniel,B,Sihao,N
581,4591,Daniel,U,Sihao,U
581,4592,Daniel,U,Sihao,U
581,4593,Daniel,U,Sihao,U
581,4594,Daniel,U,Sihao,U
581,4595,Daniel,U,Sihao,U
581,4596,Daniel,U,Sihao,U
581,4597,Daniel,U,Sihao,U
581,4598,Daniel,U,Sihao,U
581,4599,Daniel,U,Sihao,U
581,4600,Daniel,U,Sihao,U
581,4601,Daniel,U,Sihao,U
581,4602,Daniel,U,Sihao,U
581,4603,Daniel,B,Sihao,B
581,4604,Daniel,U,Sihao,N
581,4605,Daniel,B,Sihao,B
581,4606,Daniel,U,Sihao,U
581,4607,Daniel,B,Sihao,U
581,4608,Daniel,U,Sihao,S
581,4609,Daniel,U,Sihao,U
581,4610,Daniel,B,Sihao,U
581,4611,Daniel,U,Sihao,U
581,8147,Daniel,N,Sihao,N
581,8149,Daniel,N,Sihao,N
581,8328,Daniel,A,Sihao,S
581,9794,Daniel,N,Sihao,N
581,10047,Daniel,N,Sihao,N
581,10208,Daniel,N,Sihao,U
581,10269,Daniel,B,Sihao,U
581,10970,Daniel,N,Sihao,N
581,11153,Daniel,A,Sihao,U
581,11494,Daniel,A,Sihao,A
581,11918,Daniel,N,Sihao,N
581,12204,Daniel,A,Sihao,N
581,12373,Daniel,N,Sihao,N
581,12626,Daniel,N,Sihao,N
581,13378,Daniel,N,Sihao,N
581,13435,Daniel,S,Sihao,S
581,13436,Daniel,S,Sihao,N
581,13438,Daniel,U,Sihao,U
581,13444,Daniel,N,Sihao,N
581,13627,Daniel,U,Sihao,U
581,14143,Daniel,S,Sihao,B
581,14483,Daniel,B,Sihao,A
581,15109,Daniel,A,Sihao,S
581,15225,Daniel,A,Sihao,N
581,15281,Daniel,N,Sihao,N
581,15671,Daniel,A,Sihao,A
581,15834,Daniel,N,Sihao,N
581,15881,Daniel,N,Sihao,N
581,15927,Daniel,N,Sihao,N
581,15929,Daniel,B,Sihao,N
581,16602,Daniel,A,Sihao,N
581,16614,Daniel,N,Sihao,N
581,16678,Daniel,N,Sihao,N
581,16679,Daniel,S,Sihao,S
581,16750,Daniel,N,Sihao,N
581,16815,Daniel,S,Sihao,S
581,16816,Daniel,N,Sihao,U
581,16817,Daniel,B,Sihao,B
581,16818,Daniel,S,Sihao,S
581,16819,Daniel,N,Sihao,S
581,16820,Daniel,A,Sihao,S
581,16821,Daniel,S,Sihao,S
581,16822,Daniel,S,Sihao,S
581,16823,Daniel,A,Sihao,N
581,16824,Daniel,A,Sihao,A
581,16825,Daniel,A,Sihao,S
581,16826,Daniel,B,Sihao,B
581,16827,Daniel,N,Sihao,N
581,16828,Daniel,U,Sihao,U
581,16829,Daniel,A,Sihao,S
581,16830,Daniel,N,Sihao,N
581,16831,Daniel,N,Sihao,N
581,16832,Daniel,N,Sihao,A
581,16833,Daniel,N,Sihao,N
581,16834,Daniel,A,Sihao,N
