,claim_id,perspective_id,author1,rel1,author2,rel2,claim_title,persp_title
0,58,430,Daniel,S,Sihao,S,Cultural property residing in museums must be returned to its place of origin,Cultural artefacts are enriched when displayed in the context from which they originated
1,58,431,Daniel,A,Sihao,S,Cultural property residing in museums must be returned to its place of origin,Retaining artefacts is a relic of imperialist attitudes to non-occidental cultures
2,58,432,Daniel,N,Sihao,S,Cultural property residing in museums must be returned to its place of origin,Many artefacts resting in western museums were acquired illegally. Western states have a duty to retain them.
3,58,433,Daniel,S,Sihao,S,Cultural property residing in museums must be returned to its place of origin,Developing countries are able to guard and preserve their own cultural treasures
4,58,434,Daniel,U,Sihao,U,Cultural property residing in museums must be returned to its place of origin,"Scholars will have better access to artefacts, and more opportunities for study and collaboration, if they are stored in the west"
5,58,435,Daniel,B,Sihao,U,Cultural property residing in museums must be returned to its place of origin,The historical significance of artefacts extends beyond their culture of origin
6,58,436,Daniel,B,Sihao,B,Cultural property residing in museums must be returned to its place of origin,Artefacts should be made accessible to the largest possible number of visitors
7,58,437,Daniel,U,Sihao,U,Cultural property residing in museums must be returned to its place of origin,"In many cases, returning an artefact may prove to be unreasonably expensive"
8,58,9034,Daniel,N,Sihao,N,Cultural property residing in museums must be returned to its place of origin,"the move “will protect consumers and promote better, faster internet access and more competition."
9,58,9326,Daniel,N,Sihao,N,Cultural property residing in museums must be returned to its place of origin,Providing better education opportunities for Roma and disadvantaged students .
10,58,9343,Daniel,N,Sihao,N,Cultural property residing in museums must be returned to its place of origin,opportunities afforded for collaboration and social networking.
11,58,9344,Daniel,B,Sihao,B,Cultural property residing in museums must be returned to its place of origin,in a place/ museum where they are safe from danger and will have better protection.
12,58,9345,Daniel,N,Sihao,N,Cultural property residing in museums must be returned to its place of origin,and favor the content providers who have the money to pay for better access.
13,58,9346,Daniel,N,Sihao,N,Cultural property residing in museums must be returned to its place of origin,to prosecution or conviction that may be applicable in individual cases or classes of cases.
14,58,9347,Daniel,N,Sihao,N,Cultural property residing in museums must be returned to its place of origin,employee about subsequent contraventions may be desirable in some cases.
